Parameter Name                     ,Description                                                                                                                                                                                                                                              ,Default Value,Data Type 
source_language                    ,"The source language code of the word list. 
Supported language code, generally consisting of its ISO 639-1 identifier. (E.g. 'en', 'ja'). 
In certain cases, BCP-47 codes including language + region identifiers are returned (e.g. 'zh-TW' and 'zh-CH') ",en                      ,string    
target_language                    ,"The target language code for the results. 
Supported language code, generally consisting of its ISO 639-1 identifier. (E.g. 'en', 'ja'). 
In certain cases, BCP-47 codes including language + region identifiers can be used (e.g. 'zh-TW' and 'zh-CH')    ",ur                     ,string    
microsoft_translator_client_secret ,"The Microsoft API Translator key. 
For more information, read this 
https://docs.microsoft.com/en-us/azure/cognitive-services/translator/translator-info-overview                                                                                          ",,string    
word_list_file                     ,"Path to word list file in CSV format. Words should be listed once per line. 
CSV file columns 
Origin,Category",data\\input_data_small.csv,string    
output_excel_file                  ,"Path to output result file in Excel format.   
Excel file columns are Word,Category,GoogleTranslation,BingTranslation",data\\output_data.xlsx,string    
